,time,x,y
106,2024-01-18T16:51:42.884000+02:00,450,824
107,2024-01-18T16:51:42.900000+02:00,444,824
108,2024-01-18T16:51:42.916000+02:00,438,824
109,2024-01-18T16:51:42.932000+02:00,432,824
110,2024-01-18T16:51:42.948000+02:00,432,824
111,2024-01-18T16:51:42.964000+02:00,426,824
112,2024-01-18T16:51:42.980000+02:00,420,824
113,2024-01-18T16:51:42.996000+02:00,414,824
114,2024-01-18T16:51:43.013000+02:00,408,824
115,2024-01-18T16:51:43.028000+02:00,402,824
116,2024-01-18T16:51:43.045000+02:00,396,824
117,2024-01-18T16:51:43.061000+02:00,390,824
118,2024-01-18T16:51:43.076000+02:00,384,824
119,2024-01-18T16:51:43.092000+02:00,378,824
120,2024-01-18T16:51:43.108000+02:00,372,824
121,2024-01-18T16:51:43.124000+02:00,366,824
122,2024-01-18T16:51:43.140000+02:00,360,824
123,2024-01-18T16:51:43.156000+02:00,354,824
124,2024-01-18T16:51:43.172000+02:00,348,824
125,2024-01-18T16:51:43.188000+02:00,342,824
126,2024-01-18T16:51:43.204000+02:00,336,824
127,2024-01-18T16:51:43.220000+02:00,330,824
128,2024-01-18T16:51:43.236000+02:00,324,824
129,2024-01-18T16:51:43.252000+02:00,318,824
130,2024-01-18T16:51:43.268000+02:00,312,824
131,2024-01-18T16:51:43.284000+02:00,306,824
132,2024-01-18T16:51:43.300000+02:00,300,824
133,2024-01-18T16:51:43.316000+02:00,294,824
134,2024-01-18T16:51:43.332000+02:00,288,824
135,2024-01-18T16:51:43.348000+02:00,288,824
136,2024-01-18T16:51:43.364000+02:00,282,824
137,2024-01-18T16:51:43.380000+02:00,276,824
138,2024-01-18T16:51:43.396000+02:00,270,824
139,2024-01-18T16:51:43.412000+02:00,264,824
0,2024-01-18T16:52:04.677000+02:00,1068,824
1,2024-01-18T16:52:04.692000+02:00,1062,824
2,2024-01-18T16:52:04.708000+02:00,1056,824
3,2024-01-18T16:52:04.724000+02:00,1056,824
4,2024-01-18T16:52:04.740000+02:00,1050,824
5,2024-01-18T16:52:04.756000+02:00,1044,824
6,2024-01-18T16:52:04.772000+02:00,1038,824
7,2024-01-18T16:52:04.788000+02:00,1032,824
8,2024-01-18T16:52:04.804000+02:00,1026,824
9,2024-01-18T16:52:04.820000+02:00,1020,824
10,2024-01-18T16:52:04.836000+02:00,1014,824
11,2024-01-18T16:52:04.852000+02:00,1008,824
12,2024-01-18T16:52:04.868000+02:00,1002,824
13,2024-01-18T16:52:04.884000+02:00,996,824
14,2024-01-18T16:52:04.900000+02:00,990,824
15,2024-01-18T16:52:04.916000+02:00,984,824
16,2024-01-18T16:52:04.932000+02:00,978,824
17,2024-01-18T16:52:04.948000+02:00,972,824
18,2024-01-18T16:52:04.964000+02:00,966,824
19,2024-01-18T16:52:04.980000+02:00,960,824
20,2024-01-18T16:52:04.996000+02:00,954,824
21,2024-01-18T16:52:05.012000+02:00,948,824
22,2024-01-18T16:52:05.028000+02:00,942,824
23,2024-01-18T16:52:05.044000+02:00,936,824
24,2024-01-18T16:52:05.060000+02:00,930,824
25,2024-01-18T16:52:05.076000+02:00,924,824
26,2024-01-18T16:52:05.092000+02:00,918,824
27,2024-01-18T16:52:05.109000+02:00,912,824
28,2024-01-18T16:52:05.125000+02:00,906,824
29,2024-01-18T16:52:05.140000+02:00,906,824
30,2024-01-18T16:52:05.156000+02:00,900,824
31,2024-01-18T16:52:05.172000+02:00,894,824
32,2024-01-18T16:52:05.188000+02:00,888,824
33,2024-01-18T16:52:05.204000+02:00,882,824
34,2024-01-18T16:52:05.220000+02:00,876,824
35,2024-01-18T16:52:05.236000+02:00,870,824
36,2024-01-18T16:52:05.252000+02:00,864,824
37,2024-01-18T16:52:05.268000+02:00,858,824
38,2024-01-18T16:52:05.284000+02:00,852,824
39,2024-01-18T16:52:05.300000+02:00,846,824
40,2024-01-18T16:52:05.316000+02:00,840,824
41,2024-01-18T16:52:05.332000+02:00,834,824
42,2024-01-18T16:52:05.348000+02:00,828,824
43,2024-01-18T16:52:05.364000+02:00,822,824
44,2024-01-18T16:52:05.380000+02:00,816,824
45,2024-01-18T16:52:05.396000+02:00,810,824
46,2024-01-18T16:52:05.412000+02:00,804,824
47,2024-01-18T16:52:05.428000+02:00,798,824
48,2024-01-18T16:52:05.444000+02:00,792,824
49,2024-01-18T16:52:05.460000+02:00,786,824
50,2024-01-18T16:52:05.476000+02:00,780,824
51,2024-01-18T16:52:05.492000+02:00,774,824
52,2024-01-18T16:52:05.509000+02:00,768,824
53,2024-01-18T16:52:05.524000+02:00,768,824
54,2024-01-18T16:52:05.540000+02:00,762,824
55,2024-01-18T16:52:05.556000+02:00,756,824
56,2024-01-18T16:52:05.572000+02:00,750,824
57,2024-01-18T16:52:05.588000+02:00,744,824
58,2024-01-18T16:52:05.604000+02:00,738,824
59,2024-01-18T16:52:05.620000+02:00,732,824
60,2024-01-18T16:52:05.636000+02:00,726,824
61,2024-01-18T16:52:05.652000+02:00,720,824
62,2024-01-18T16:52:05.668000+02:00,714,824
63,2024-01-18T16:52:05.684000+02:00,708,824
64,2024-01-18T16:52:05.700000+02:00,702,824
65,2024-01-18T16:52:05.716000+02:00,696,824
66,2024-01-18T16:52:05.732000+02:00,690,824
67,2024-01-18T16:52:05.748000+02:00,684,824
68,2024-01-18T16:52:05.764000+02:00,678,824
69,2024-01-18T16:52:05.780000+02:00,672,824
70,2024-01-18T16:52:05.796000+02:00,666,824
71,2024-01-18T16:52:05.812000+02:00,660,824
72,2024-01-18T16:52:05.828000+02:00,654,824
73,2024-01-18T16:52:05.844000+02:00,648,824
74,2024-01-18T16:52:05.860000+02:00,642,824
75,2024-01-18T16:52:05.876000+02:00,636,824
76,2024-01-18T16:52:05.892000+02:00,630,824
77,2024-01-18T16:52:05.908000+02:00,624,824
78,2024-01-18T16:52:05.924000+02:00,624,824
79,2024-01-18T16:52:05.940000+02:00,618,824
80,2024-01-18T16:52:05.956000+02:00,612,824
81,2024-01-18T16:52:05.972000+02:00,606,824
82,2024-01-18T16:52:05.988000+02:00,600,824
83,2024-01-18T16:52:06.004000+02:00,594,824
84,2024-01-18T16:52:06.020000+02:00,588,824
85,2024-01-18T16:52:06.036000+02:00,582,824
86,2024-01-18T16:52:06.052000+02:00,576,824
87,2024-01-18T16:52:06.068000+02:00,570,824
88,2024-01-18T16:52:06.084000+02:00,564,824
89,2024-01-18T16:52:06.100000+02:00,558,824
90,2024-01-18T16:52:06.116000+02:00,552,824
91,2024-01-18T16:52:06.132000+02:00,546,824
92,2024-01-18T16:52:06.148000+02:00,540,824
93,2024-01-18T16:52:06.164000+02:00,534,824
94,2024-01-18T16:52:06.180000+02:00,528,824
95,2024-01-18T16:52:06.196000+02:00,522,824
96,2024-01-18T16:52:06.212000+02:00,516,824
97,2024-01-18T16:52:06.228000+02:00,510,824
98,2024-01-18T16:52:06.244000+02:00,504,824
99,2024-01-18T16:52:06.260000+02:00,498,824
100,2024-01-18T16:52:06.276000+02:00,492,824
101,2024-01-18T16:52:06.292000+02:00,486,824
102,2024-01-18T16:52:06.308000+02:00,480,824
