,0
361,1705589480.6554337
362,1705589480.6882775
363,1705589480.7211363
364,1705589480.75401
365,1705589480.7868538
366,1705589480.8196976
367,1705589480.8525565
368,1705589480.8854003
369,1705589480.9182444
370,1705589480.9510734
371,1705589480.983932
372,1705589481.016776
373,1705589481.049635
374,1705589481.0824788
375,1705589481.1153226
376,1705589481.1481814
377,1705589481.1810403
378,1705589481.213884
379,1705589481.2467132
380,1705589481.2795572
381,1705589481.3124306
382,1705589481.3452747
383,1705589481.3781037
384,1705589481.4109478
385,1705589481.4438212
386,1705589481.4766653
387,1705589481.509509
388,1705589481.5423532
389,1705589481.5752265
390,1705589481.6080704
391,1705589481.6409144
392,1705589481.6737733
393,1705589481.7066467
394,1705589481.7394907
395,1705589481.7723346
396,1705589481.8051786
397,1705589481.8380373
398,1705589481.8708813
399,1705589481.9037104
400,1705589481.9365692
401,1705589481.9694278
402,1705589482.0022569
403,1705589482.035101
404,1705589482.0679448
405,1705589482.100774
406,1705589482.1336179
407,1705589482.1664617
408,1705589482.199291
409,1705589482.2321496
410,1705589482.2650232
411,1705589482.2978523
412,1705589482.3306963
413,1705589482.363555
414,1705589482.3964138
415,1705589482.4292576
416,1705589482.4621017
417,1705589482.4949307
418,1705589482.5277896
419,1705589482.5606334
420,1705589482.5934625
421,1705589482.6263065
422,1705589482.6591651
423,1705589482.6920092
424,1705589482.7248533
425,1705589482.757712
426,1705589482.7905705
427,1705589482.8234146
428,1705589482.8562584
429,1705589482.8891025
430,1705589482.9219759
431,1705589482.95482
432,1705589482.9876637
433,1705589483.0205078
434,1705589483.0533664
435,1705589483.0862105
436,1705589483.1190543
437,1705589483.1518981
438,1705589483.184757
439,1705589483.2175865
440,1705589483.250415
441,1705589483.2832592
442,1705589483.3160882
443,1705589483.3489323
444,1705589483.381776
445,1705589483.4146051
446,1705589483.4474492
447,1705589483.4803078
448,1705589483.513152
449,1705589483.5459812
450,1705589483.578825
451,1705589483.6116688
452,1705589483.644513
453,1705589483.6773567
454,1705589483.710201
455,1705589483.7430594
456,1705589483.7758884
457,1705589483.8087325
458,1705589483.8415763
459,1705589483.8744352
460,1705589483.907279
461,1705589483.940123
462,1705589483.9729521
463,1705589484.0058107
464,1705589484.03864
465,1705589484.071469
466,1705589484.1043131
467,1705589484.1371717
468,1705589484.1700156
469,1705589484.2028449
470,1705589484.2356887
471,1705589484.2685475
472,1705589484.3013914
473,1705589484.3342204
474,1705589484.3670645
475,1705589484.3999233
476,1705589484.4327524
477,1705589484.4655964
478,1705589484.4984403
479,1705589484.5312693
480,1705589484.5641131
481,1705589484.5969424
482,1705589484.6297863
483,1705589484.662645
484,1705589484.695489
485,1705589484.7283328
486,1705589484.761162
487,1705589484.7940059
488,1705589484.8268795
489,1705589484.8597236
490,1705589484.8925526
491,1705589484.9253964
492,1705589484.9582553
493,1705589484.991099
494,1705589485.023943
495,1705589485.056787
496,1705589485.0896459
497,1705589485.1224897
498,1705589485.1553335
499,1705589485.1881924
500,1705589485.221051
501,1705589485.253895
502,1705589485.286724
503,1705589485.3195682
504,1705589485.3524415
505,1705589485.3852708
506,1705589485.4180999
507,1705589485.450944
508,1705589485.4838026
509,1705589485.5166316
510,1705589485.549461
511,1705589485.5823047
512,1705589485.6151633
513,1705589485.6480074
514,1705589485.6808364
515,1705589485.7136953
516,1705589485.7465243
517,1705589485.7793684
518,1705589485.8122122
519,1705589485.8450415
520,1705589485.8778853
521,1705589485.910759
522,1705589485.9436028
523,1705589485.9764466
524,1705589486.0092907
525,1705589486.0421495
526,1705589486.0749934
527,1705589486.1078372
528,1705589486.1406813
529,1705589486.1735399
530,1705589486.206384
531,1705589486.2392278
532,1705589486.2720718
533,1705589486.3049452
534,1705589486.3377893
535,1705589486.3706331
536,1705589486.403477
537,1705589486.4363358
538,1705589486.4691799
539,1705589486.5020237
540,1705589486.5348678
541,1705589486.5677264
542,1705589486.6005702
543,1705589486.6334143
544,1705589486.666258
545,1705589486.699117
546,1705589486.731961
547,1705589486.7648048
548,1705589486.7976487
549,1705589486.8305223
550,1705589486.8633661
551,1705589486.8962102
552,1705589486.9290688
553,1705589486.9619126
554,1705589486.9947567
555,1705589487.0275857
556,1705589487.0604298
557,1705589487.0932887
558,1705589487.1261623
559,1705589487.1590059
560,1705589487.1918352
561,1705589487.224679
562,1705589487.2575378
563,1705589487.290382
564,1705589487.3232257
565,1705589487.3560843
566,1705589487.3889432
567,1705589487.421787
568,1705589487.454631
569,1705589487.487475
570,1705589487.5203338
571,1705589487.5531776
572,1705589487.5860217
573,1705589487.6188803
574,1705589487.6517391
575,1705589487.684583
576,1705589487.7174122
577,1705589487.7502708
578,1705589487.7831297
579,1705589487.8159883
580,1705589487.8488324
581,1705589487.8816912
582,1705589487.9145498
583,1705589487.947394
584,1705589487.9802377
585,1705589488.0130816
586,1705589488.0459402
587,1705589488.0787842
588,1705589488.1116133
589,1705589488.1444573
590,1705589488.1773012
591,1705589488.2101452
592,1705589488.2429743
593,1705589488.275818
594,1705589488.3086622
595,1705589488.3415208
596,1705589488.37435
597,1705589488.407194
598,1705589488.4400232
599,1705589488.4728818
600,1705589488.5057259
601,1705589488.538555
602,1705589488.5713987
603,1705589488.6042724
604,1705589488.6371017
605,1705589488.6699452
606,1705589488.7027745
607,1705589488.7356331
608,1705589488.7684772
609,1705589488.8013062
610,1705589488.8341503
611,1705589488.867009
612,1705589488.899838
613,1705589488.932682
614,1705589488.9655259
615,1705589488.9983847
616,1705589489.0312138
617,1705589489.0640578
618,1705589489.0969017
619,1705589489.1297605
620,1705589489.1625896
621,1705589489.1954186
622,1705589489.2282627
623,1705589489.2611213
624,1705589489.2939506
625,1705589489.3267944
626,1705589489.3596382
627,1705589489.3924677
628,1705589489.4253113
629,1705589489.4581404
630,1705589489.4909844
631,1705589489.5238283
632,1705589489.556687
633,1705589489.589531
634,1705589489.6223748
635,1705589489.6552188
636,1705589489.6880777
637,1705589489.7209067
638,1705589489.7537506
639,1705589489.7865946
640,1705589489.8194532
641,1705589489.8522825
642,1705589489.8851264
643,1705589489.9179704
644,1705589489.950829
645,1705589489.983673
646,1705589490.0165021
647,1705589490.049346
648,1705589490.0822048
649,1705589490.1150339
650,1705589490.147878
651,1705589490.1807365
652,1705589490.2135954
653,1705589490.2464244
654,1705589490.2792535
655,1705589490.3120975
656,1705589490.3449562
657,1705589490.3777854
658,1705589490.4106293
659,1705589490.443473
660,1705589490.476332
661,1705589490.509176
662,1705589490.542005
663,1705589490.574849
664,1705589490.607693
665,1705589490.640522
666,1705589490.673366
667,1705589490.706195
668,1705589490.7390537
669,1705589490.7718978
670,1705589490.8047416
671,1705589490.8375707
672,1705589490.8704
673,1705589490.9032586
674,1705589490.9360878
675,1705589490.9689317
676,1705589491.001761
677,1705589491.0346344
678,1705589491.0674784
679,1705589491.1003075
680,1705589491.1331663
681,1705589491.166025
682,1705589491.1988838
683,1705589491.2317276
684,1705589491.2645714
685,1705589491.297445
686,1705589491.330274
687,1705589491.3631182
688,1705589491.3959768
689,1705589491.4288504
690,1705589491.4616795
691,1705589491.4945235
692,1705589491.5273824
693,1705589491.560241
694,1705589491.593085
695,1705589491.6259289
696,1705589491.6587727
697,1705589491.6916463
698,1705589491.7244754
699,1705589491.7573195
700,1705589491.7901635
701,1705589491.8230073
702,1705589491.8558512
703,1705589491.8886802
704,1705589491.9215243
705,1705589491.954383
706,1705589491.9872417
707,1705589492.0200856
708,1705589492.0529296
709,1705589492.0857735
710,1705589492.1186323
711,1705589492.1514764
712,1705589492.18432
713,1705589492.2171788
714,1705589492.2500525
715,1705589492.2828815
716,1705589492.3157256
717,1705589492.3485694
718,1705589492.3814282
719,1705589492.414272
720,1705589492.447101
721,1705589492.4799452
722,1705589492.512804
723,1705589492.5456479
724,1705589492.578477
725,1705589492.611321
726,1705589492.6441796
727,1705589492.6770234
728,1705589492.7098527
729,1705589492.7426965
730,1705589492.7755702
731,1705589492.808414
732,1705589492.841258
733,1705589492.8741019
734,1705589492.9069605
735,1705589492.9397898
736,1705589492.9726336
737,1705589493.0054777
738,1705589493.0383215
739,1705589493.0711656
740,1705589493.1040094
741,1705589493.1368535
742,1705589493.1696973
743,1705589493.2025561
744,1705589493.2353852
745,1705589493.2682142
746,1705589493.3010583
747,1705589493.3339171
748,1705589493.366746
749,1705589493.3995757
750,1705589493.432419
751,1705589493.465278
752,1705589493.4981217
753,1705589493.530951
754,1705589493.5637949
755,1705589493.5966535
756,1705589493.6294975
757,1705589493.6623416
758,1705589493.6951854
759,1705589493.728044
760,1705589493.760888
761,1705589493.7937174
762,1705589493.826561
763,1705589493.8594346
764,1705589493.8922637
765,1705589493.925093
766,1705589493.9579368
767,1705589493.9907956
768,1705589494.0236099
769,1705589494.056454
770,1705589494.0892978
771,1705589494.1221418
772,1705589494.1549857
773,1705589494.1878147
774,1705589494.2206736
775,1705589494.2535026
776,1705589494.2863467
777,1705589494.3191905
778,1705589494.3520343
779,1705589494.3848784
780,1705589494.417752
781,1705589494.450581
782,1705589494.483425
783,1705589494.516269
784,1705589494.5491276
785,1705589494.5819566
786,1705589494.614786
787,1705589494.6476445
788,1705589494.6805034
789,1705589494.7133324
790,1705589494.7461762
791,1705589494.7790203
792,1705589494.8118792
793,1705589494.8447082
794,1705589494.8775373
795,1705589494.9103813
796,1705589494.9432547
797,1705589494.9760842
798,1705589495.008913
799,1705589495.0417569
800,1705589495.0746305
801,1705589495.1074595
802,1705589495.1403036
803,1705589495.1731327
804,1705589495.2060063
805,1705589495.2388356
806,1705589495.2716794
807,1705589495.304538
808,1705589495.3373969
809,1705589495.3702407
810,1705589495.4030697
811,1705589495.4359138
812,1705589495.4687576
813,1705589495.5015867
814,1705589495.5344307
815,1705589495.5672598
816,1705589495.6001036
817,1705589495.6329772
818,1705589495.6658065
819,1705589495.6986504
820,1705589495.7314942
821,1705589495.7643678
822,1705589495.7971969
823,1705589495.830041
824,1705589495.8628848
825,1705589495.8957584
826,1705589495.9285877
827,1705589495.9614315
828,1705589495.9942753
829,1705589496.0271342
830,1705589496.059978
831,1705589496.092807
832,1705589496.125666
833,1705589496.1585245
834,1705589496.1913688
835,1705589496.2241976
836,1705589496.2570565
837,1705589496.2899299
838,1705589496.3227592
839,1705589496.355603
840,1705589496.388447
841,1705589496.4213207
842,1705589496.4541645
843,1705589496.4869936
844,1705589496.5198376
845,1705589496.5526962
846,1705589496.5855253
847,1705589496.6183693
848,1705589496.651228
849,1705589496.6840572
850,1705589496.716901
851,1705589496.74973
852,1705589496.7825594
853,1705589496.8154032
854,1705589496.848262
855,1705589496.881106
856,1705589496.913935
857,1705589496.9467793
858,1705589496.9796379
859,1705589497.0124817
860,1705589497.0453107
861,1705589497.0781546
862,1705589497.1110134
863,1705589497.1438427
864,1705589497.1766717
865,1705589497.2095156
866,1705589497.2423894
867,1705589497.2752185
868,1705589497.3080473
869,1705589497.3408766
870,1705589497.3737352
871,1705589497.4065793
872,1705589497.4394085
873,1705589497.4722521
874,1705589497.505111
875,1705589497.537955
876,1705589497.570784
877,1705589497.603628
878,1705589497.6364868
879,1705589497.6693306
880,1705589497.70216
881,1705589497.7350037
882,1705589497.7678626
883,1705589497.8006916
884,1705589497.833521
885,1705589497.8663647
886,1705589497.8992088
887,1705589497.9320376
888,1705589497.9648817
889,1705589497.9977255
890,1705589498.0305696
891,1705589498.063443
892,1705589498.096287
893,1705589498.129116
894,1705589498.16196
895,1705589498.1948187
896,1705589498.2276478
897,1705589498.2604918
898,1705589498.2933357
899,1705589498.3261945
900,1705589498.3590384
901,1705589498.3918676
902,1705589498.4247115
903,1705589498.457585
904,1705589498.4904292
905,1705589498.5232728
906,1705589498.5561168
907,1705589498.5889757
908,1705589498.6218195
909,1705589498.6546633
910,1705589498.6875074
911,1705589498.720366
912,1705589498.753195
913,1705589498.7860243
914,1705589498.8188682
915,1705589498.851727
916,1705589498.884556
917,1705589498.9174001
918,1705589498.9502587
919,1705589498.9831176
920,1705589499.0159466
921,1705589499.0487757
922,1705589499.0816197
923,1705589499.1144488
924,1705589499.147278
925,1705589499.180107
926,1705589499.2129214
927,1705589499.2457652
928,1705589499.2786093
929,1705589499.3114386
930,1705589499.3442676
931,1705589499.3771114
932,1705589499.40997
933,1705589499.442799
934,1705589499.4756432
935,1705589499.5084722
936,1705589499.541331
937,1705589499.57416
938,1705589499.6069894
939,1705589499.6398332
940,1705589499.672692
941,1705589499.705521
942,1705589499.7383652
943,1705589499.771209
944,1705589499.8040679
945,1705589499.8369117
946,1705589499.8697555
947,1705589499.9025848
948,1705589499.9354582
949,1705589499.9682872
950,1705589500.0011313
951,1705589500.0339751
952,1705589500.066834
953,1705589500.0996778
954,1705589500.1325219
955,1705589500.1653657
956,1705589500.1982245
957,1705589500.2310536
958,1705589500.2638826
959,1705589500.2967267
960,1705589500.3295705
961,1705589500.3624146
962,1705589500.3952436
963,1705589500.4280882
964,1705589500.4609315
965,1705589500.4937901
966,1705589500.5266194
967,1705589500.5594485
968,1705589500.5922775
969,1705589500.6251364
970,1705589500.6579654
971,1705589500.6908095
972,1705589500.7236533
973,1705589500.7564974
974,1705589500.7893412
975,1705589500.822185
976,1705589500.855029
977,1705589500.8879027
978,1705589500.9207318
979,1705589500.9535758
980,1705589500.9864197
981,1705589501.0192783
982,1705589501.0521076
983,1705589501.0849514
984,1705589501.1177952
985,1705589501.150654
986,1705589501.183498
987,1705589501.2163274
988,1705589501.249171
989,1705589501.2820148
990,1705589501.314859
991,1705589501.3477027
992,1705589501.3805468
993,1705589501.4134054
994,1705589501.4462347
995,1705589501.4790637
996,1705589501.5119078
997,1705589501.5447369
998,1705589501.5775807
999,1705589501.61041
1000,1705589501.643239
1001,1705589501.6760828
1002,1705589501.708927
1003,1705589501.7417707
1004,1705589501.7745998
1005,1705589501.8074288
1006,1705589501.8402877
1007,1705589501.873117
1008,1705589501.905946
1009,1705589501.9387898
1010,1705589501.9716487
1011,1705589502.0044777
1012,1705589502.0373068
1013,1705589502.0701509
1014,1705589502.1029947
1015,1705589502.135839
1016,1705589502.1686678
1017,1705589502.2015116
1018,1705589502.2343707
1019,1705589502.2671998
1020,1705589502.3000436
1021,1705589502.3328874
1022,1705589502.365761
1023,1705589502.3986049
1024,1705589502.431449
1025,1705589502.4642928
1026,1705589502.4971516
1027,1705589502.5299807
1028,1705589502.5628247
1029,1705589502.5956686
1030,1705589502.6285124
1031,1705589502.6613562
1032,1705589502.6941857
1033,1705589502.7270148
1034,1705589502.7598438
1035,1705589502.7926877
1036,1705589502.8255167
1037,1705589502.858346
1038,1705589502.8911898
1039,1705589502.9240339
1040,1705589502.9568777
1041,1705589502.989692
1042,1705589503.0225358
1043,1705589503.055395
1044,1705589503.088224
1045,1705589503.121053
1046,1705589503.153882
1047,1705589503.1867409
1048,1705589503.21957
1049,1705589503.252399
1050,1705589503.285243
1051,1705589503.3180869
1052,1705589503.3509307
1053,1705589503.3837452
1054,1705589503.416589
1055,1705589503.4494479
1056,1705589503.482277
1057,1705589503.515106
1058,1705589503.54795
1059,1705589503.5807939
1060,1705589503.6136377
1061,1705589503.646467
1062,1705589503.6793108
1063,1705589503.7121696
1064,1705589503.7450135
1065,1705589503.7778573
1066,1705589503.8107014
1067,1705589503.8435452
1068,1705589503.8763893
1069,1705589503.9092183
1070,1705589503.9420624
1071,1705589503.9748914
1072,1705589504.0077353
1073,1705589504.0405645
1074,1705589504.0734084
1075,1705589504.1062522
1076,1705589504.139111
1077,1705589504.17194
1078,1705589504.2047691
1079,1705589504.2376132
1080,1705589504.270472
1081,1705589504.303301
1082,1705589504.3361301
1083,1705589504.368974
1084,1705589504.401833
1085,1705589504.434677
1086,1705589504.467506
1087,1705589504.5003498
1088,1705589504.5332086
1089,1705589504.5660377
1090,1705589504.5988817
1091,1705589504.6317108
1092,1705589504.6645696
1093,1705589504.6973987
1094,1705589504.7302425
1095,1705589504.7630718
1096,1705589504.7959304
1097,1705589504.8287597
1098,1705589504.8615887
1099,1705589504.8944178
1100,1705589504.9272766
1101,1705589504.9601057
1102,1705589504.9929347
1103,1705589505.0257788
1104,1705589505.0586376
1105,1705589505.0914667
1106,1705589505.1243105
1107,1705589505.1571395
1108,1705589505.1899688
1109,1705589505.2227979
1110,1705589505.255642
1111,1705589505.288471
