,0
153,1705589474.392462
154,1705589474.4253058
155,1705589474.4581645
156,1705589474.4909937
157,1705589474.5238228
158,1705589474.5566666
159,1705589474.5895107
160,1705589474.6223545
161,1705589474.6551838
162,1705589474.6880276
163,1705589474.7208714
164,1705589474.7537007
165,1705589474.78653
166,1705589474.8193738
167,1705589474.8522325
168,1705589474.8850615
169,1705589474.917876
170,1705589474.9507198
171,1705589474.9835637
172,1705589475.016393
173,1705589475.0492222
174,1705589475.082051
175,1705589475.11491
176,1705589475.1477242
177,1705589475.1805532
178,1705589475.2133975
179,1705589475.246256
180,1705589475.2790852
181,1705589475.3119142
182,1705589475.3447583
183,1705589475.3775873
184,1705589475.4104164
185,1705589475.4432602
186,1705589475.4760895
187,1705589475.5089333
188,1705589475.5417922
189,1705589475.5746212
190,1705589475.6074502
191,1705589475.6402943
192,1705589475.673153
193,1705589475.7059822
194,1705589475.7388113
195,1705589475.771655
196,1705589475.804514
197,1705589475.837343
198,1705589475.870172
199,1705589475.903016
200,1705589475.9358897
201,1705589475.9687188
202,1705589476.0015478
203,1705589476.0343919
204,1705589476.0672505
205,1705589476.1000946
206,1705589476.1329236
207,1705589476.1657674
208,1705589476.1986263
209,1705589476.23147
210,1705589476.2642994
211,1705589476.2971432
212,1705589476.3299873
213,1705589476.3628163
214,1705589476.3956454
215,1705589476.4284894
216,1705589476.4613335
217,1705589476.494177
218,1705589476.5270064
219,1705589476.5598502
220,1705589476.5926943
221,1705589476.6255236
222,1705589476.6583526
223,1705589476.6911814
224,1705589476.7240255
225,1705589476.7568843
226,1705589476.7897134
227,1705589476.8225427
228,1705589476.8553865
229,1705589476.888245
230,1705589476.9210742
231,1705589476.9539034
232,1705589476.986762
233,1705589477.019621
234,1705589477.0524502
235,1705589477.085294
236,1705589477.1181378
237,1705589477.1509964
238,1705589477.1838257
239,1705589477.2166696
240,1705589477.2495136
241,1705589477.2823722
242,1705589477.3152163
243,1705589477.3480453
244,1705589477.3809042
245,1705589477.4137628
246,1705589477.4465919
247,1705589477.4794211
248,1705589477.512265
249,1705589477.5451238
250,1705589477.5779676
251,1705589477.6107967
252,1705589477.6436408
253,1705589477.6765144
254,1705589477.7093434
255,1705589477.7421873
256,1705589477.7750313
257,1705589477.8078752
258,1705589477.8407044
259,1705589477.8735483
260,1705589477.906392
261,1705589477.9392214
262,1705589477.97208
263,1705589478.004924
264,1705589478.037753
265,1705589478.070597
266,1705589478.103441
267,1705589478.1362848
268,1705589478.169114
269,1705589478.201958
270,1705589478.2348168
271,1705589478.2676458
272,1705589478.30049
273,1705589478.333319
274,1705589478.3661778
275,1705589478.3990068
276,1705589478.4318507
277,1705589478.4646945
278,1705589478.4975533
279,1705589478.5303826
280,1705589478.5632117
281,1705589478.5960555
282,1705589478.6289291
283,1705589478.6617582
284,1705589478.6945872
285,1705589478.727446
286,1705589478.76029
287,1705589478.7931192
288,1705589478.825963
289,1705589478.858807
290,1705589478.891651
291,1705589478.924495
292,1705589478.957324
293,1705589478.9901679
294,1705589479.023012
295,1705589479.0558558
296,1705589479.0886848
297,1705589479.121514
298,1705589479.154373
299,1705589479.1872313
300,1705589479.2200606
301,1705589479.2529044
302,1705589479.2857485
303,1705589479.318607
304,1705589479.3514512
305,1705589479.3842804
306,1705589479.4171243
307,1705589479.4499977
308,1705589479.4828267
309,1705589479.515656
310,1705589479.5484998
311,1705589479.5813735
312,1705589479.6142175
313,1705589479.6470613
314,1705589479.6799052
315,1705589479.7127638
316,1705589479.7456079
317,1705589479.778437
318,1705589479.811281
319,1705589479.8441398
320,1705589479.8769689
321,1705589479.909798
322,1705589479.9426417
323,1705589479.9755008
324,1705589480.0083447
325,1705589480.0411885
326,1705589480.0740325
327,1705589480.1068912
328,1705589480.1397202
329,1705589480.1725495
330,1705589480.2053936
331,1705589480.2382226
332,1705589480.2710664
333,1705589480.3038955
334,1705589480.3367393
335,1705589480.3695834
336,1705589480.402442
337,1705589480.435286
338,1705589480.46813
339,1705589480.5009887
340,1705589480.5338624
341,1705589480.5667062
342,1705589480.5995502
343,1705589480.632394
344,1705589480.6652677
345,1705589480.6981115
346,1705589480.7309554
347,1705589480.7637997
348,1705589480.796673
349,1705589480.829517
350,1705589480.8623607
351,1705589480.8952196
352,1705589480.928093
353,1705589480.960937
354,1705589480.993781
355,1705589481.0266252
356,1705589481.0594985
357,1705589481.0923424
358,1705589481.1251862
359,1705589481.1580303
360,1705589481.190904
361,1705589481.223733
362,1705589481.2565768
363,1705589481.2894356
364,1705589481.3223093
365,1705589481.355168
366,1705589481.388012
367,1705589481.4208558
368,1705589481.4536998
369,1705589481.4865437
370,1705589481.5193875
371,1705589481.5522316
372,1705589481.5850754
373,1705589481.617949
374,1705589481.6507928
375,1705589481.683637
376,1705589481.7164807
377,1705589481.7493396
378,1705589481.7821834
379,1705589481.8150275
380,1705589481.8478713
381,1705589481.8807302
382,1705589481.913574
383,1705589481.946418
384,1705589481.9792619
385,1705589482.0121205
386,1705589482.0449646
387,1705589482.0778086
388,1705589482.1106672
389,1705589482.1435406
390,1705589482.1763847
391,1705589482.2092288
392,1705589482.2420874
393,1705589482.274961
394,1705589482.3078048
395,1705589482.3406491
396,1705589482.373478
397,1705589482.4063368
398,1705589482.4391806
399,1705589482.4720247
400,1705589482.5048685
401,1705589482.5377274
402,1705589482.5705712
403,1705589482.6034002
404,1705589482.636259
405,1705589482.6690881
406,1705589482.701932
407,1705589482.7347612
408,1705589482.767605
409,1705589482.800464
410,1705589482.8333225
411,1705589482.8661666
412,1705589482.8990104
413,1705589482.9318545
414,1705589482.964728
415,1705589482.997572
416,1705589483.0304158
417,1705589483.0632448
418,1705589483.0961037
419,1705589483.1289477
420,1705589483.1617768
421,1705589483.1946206
422,1705589483.2274795
423,1705589483.2603233
424,1705589483.2931674
425,1705589483.326026
426,1705589483.3588848
427,1705589483.3917289
428,1705589483.4245727
429,1705589483.4574313
430,1705589483.4902902
431,1705589483.523134
432,1705589483.555978
433,1705589483.588822
434,1705589483.6216807
435,1705589483.6545246
436,1705589483.6873684
437,1705589483.7202125
438,1705589483.7530713
439,1705589483.7859004
440,1705589483.8187294
441,1705589483.8515735
442,1705589483.8844025
443,1705589483.9172463
444,1705589483.9500904
445,1705589483.9829195
446,1705589484.0157635
447,1705589484.0486372
448,1705589484.0814662
449,1705589484.1142952
450,1705589484.1471393
451,1705589484.179998
452,1705589484.2128417
453,1705589484.245671
454,1705589484.2785149
455,1705589484.3113737
456,1705589484.3442175
457,1705589484.3770466
458,1705589484.4098907
459,1705589484.442764
460,1705589484.475608
461,1705589484.5084374
462,1705589484.541281
463,1705589484.574125
464,1705589484.606954
465,1705589484.6397982
466,1705589484.672642
467,1705589484.7055006
468,1705589484.73833
469,1705589484.771174
470,1705589484.8040178
471,1705589484.8368764
472,1705589484.8697057
473,1705589484.9025495
474,1705589484.9353933
475,1705589484.9682522
476,1705589485.0010812
477,1705589485.0339253
478,1705589485.0667691
479,1705589485.0995984
480,1705589485.1324422
481,1705589485.1652713
482,1705589485.1981153
483,1705589485.2309592
484,1705589485.263818
485,1705589485.296647
486,1705589485.329491
487,1705589485.3623352
488,1705589485.3952086
489,1705589485.4280376
490,1705589485.4608815
491,1705589485.4937255
492,1705589485.5265844
493,1705589485.5594282
494,1705589485.5922573
495,1705589485.625116
496,1705589485.6579747
497,1705589485.6908188
498,1705589485.7236626
499,1705589485.7565215
500,1705589485.78938
501,1705589485.8222241
502,1705589485.8550532
503,1705589485.8878973
504,1705589485.9207559
505,1705589485.9535997
506,1705589485.986429
507,1705589486.0192728
508,1705589486.0521317
509,1705589486.0849607
510,1705589486.1177897
511,1705589486.1506338
512,1705589486.1834924
513,1705589486.2163365
514,1705589486.2491655
515,1705589486.2820244
516,1705589486.3148534
517,1705589486.3476973
518,1705589486.3805413
519,1705589486.4133704
520,1705589486.4462144
521,1705589486.4790878
522,1705589486.5119317
523,1705589486.5447757
524,1705589486.5776198
525,1705589486.6104932
526,1705589486.6433225
527,1705589486.6761663
528,1705589486.7090101
529,1705589486.7418838
530,1705589486.7747278
531,1705589486.8075569
532,1705589486.8404155
533,1705589486.8732743
534,1705589486.9061182
535,1705589486.9389622
536,1705589486.9718063
537,1705589487.004665
538,1705589487.037509
539,1705589487.0703528
540,1705589487.1032116
541,1705589487.1360703
542,1705589487.1688993
543,1705589487.2017434
544,1705589487.2345872
545,1705589487.2674608
546,1705589487.3002899
547,1705589487.3331337
548,1705589487.3659925
549,1705589487.3988512
550,1705589487.43171
551,1705589487.464554
552,1705589487.497398
553,1705589487.530242
